Country_Region,2022/09/01,2022/09/02,2022/09/03,2022/09/04,2022/09/05,2022/09/06,2022/09/07,2022/09/08,2022/09/09,2022/09/10,2022/09/11,2022/09/12,2022/09/13,2022/09/14,2022/09/15,2022/09/16,2022/09/17,2022/09/18,2022/09/19,2022/09/20,2022/09/21,2022/09/22,2022/09/23,2022/09/24,2022/09/25,2022/09/26,2022/09/27,2022/09/28,2022/09/29,2022/09/30
Burma,615315,615399,615489,615559,615654,615800,616023,616210,616401,616663,616852,617056,617355,617739,617998,618303,618664,618898,619167,619566,620035,620444,620744,621124,621402,621686,622042,622423,622802,622802
Burundi,49287,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49882,49882,49882,49882,49957,50026,50026,50040,50066,50066,50066,50129,50129,50129,50129,50193
Cabo Verde,62322,62322,62326,62328,62328,62330,62331,62331,62339,62341,62344,62344,62346,62350,62350,62352,62352,62354,62354,62356,62356,62356,62358,62359,62359,62360,62368,62370,62371,62374
Cambodia,137629,137637,137650,137661,137668,137679,137687,137689,137696,137705,137710,137719,137735,137739,137745,137752,137755,137767,137771,137778,137813,137824,137827,137833,137833,137849,137856,137861,137870,137877
Cameroon,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652,121652
Canada,4204312,4207961,4208622,4209096,4209542,4212439,4214431,4221439,4224759,4225396,4225396,4226515,4229986,4231064,4239075,4244008,4244622,4245082,4245666,4249798,4251898,4259383,4262446,4263179,4263800,4264425,4267612,4270276,4278430,4279316
Central African Republic,14862,14862,14862,14862,14874,14882,14883,14883,14883,14883,14883,14883,14883,14904,14904,14904,14904,14904,14904,14904,14904,14904,14904,14904,14904,14913,14913,14913,14913,14913
Chad,7538,7538,7538,7538,7547,7547,7549,7549,7549,7549,7549,7558,7560,7560,7560,7560,7560,7560,7571,7573,7573,7573,7573,7573,7573,7581,7581,7583,7583,7583
Chile,4508422,4522295,4527533,4532562,4536380,4538858,4543982,4549927,4555253,4559801,4563807,4566548,4568495,4568495,4568495,4568495,4568495,4568495,4568495,4588533,4590421,4594519,4599179,4603514,4607566,4610353,4612278,4616294,4620377,4624307
China,2510703,2522721,2533531,2547297,2558905,2569910,2581660,2594190,2605616,2616674,2626983,2635990,2644191,2652714,2661940,2671881,2680816,2689291,2696527,2702866,2709291,2716077,2722353,2728374,2733103,2737936,2742421,2747530,2752556,2757442
Colombia,6302809,6302809,6302809,6302809,6302809,6302809,6302809,6304317,6304317,6304317,6304317,6304317,6304317,6304317,6305562,6305562,6305562,6305562,6305562,6305562,6305562,6306552,6306552,6306552,6306552,6306552,6306552,6306552,6307372,6307372
Comoros,8455,8455,8455,8455,8455,8455,8455,8455,8455,8455,8455,8455,8455,8467,8467,8467,8467,8467,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471
Congo (Brazzaville),24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837,24837
Congo (Kinshasa),92711,92711,92711,92711,92711,92711,92711,92711,92751,92751,92751,92751,92751,92751,92751,92751,92751,92751,92809,92809,92809,92852,92852,92852,92852,92852,92852,92852,92852,92893
Costa Rica,1088716,1088716,1088716,1088716,1088716,1097629,1097629,1097629,1097629,1097629,1097629,1098379,1105792,1105792,1105792,1105792,1105792,1105792,1105792,1111969,1111969,1111969,1111969,1111969,1111969,1111969,1117989,1117989,1117989,1117989
Cote d'Ivoire,86760,86779,86808,86821,86824,86840,86870,86885,86885,86919,86919,86941,86941,86941,86990,87009,87009,87031,87036,87073,87081,87094,87123,87129,87135,87135,87159,87159,87208,87208
Croatia,1214579,1215271,1215999,1216429,1216456,1216935,1217869,1218663,1218663,1220015,1220456,1220490,1220986,1222007,1222914,1223641,1224366,1224837,1224885,1225365,1226323,1227197,1227852,1228574,1229014,1229044,1229570,1230666,1231575,1232379
Cuba,1110586,1110631,1110668,1110713,1110742,1110759,1110790,1110808,1110840,1110858,1110894,1110918,1110927,1110948,1110971,1110990,1111011,1111031,1111045,1111067,1111080,1111096,1111109,1111128,1111146,1111161,1111164,1111170,1111179,1111186
Cyprus,576278,578030,578030,578030,578030,578030,578030,578030,578030,579899,579899,579899,579899,579899,579899,582381,582381,582381,582381,582381,582381,582381,585313,585313,585313,585313,585313,585313,585313,587994
Czechia,4352022,4354525,4355725,4356062,4358878,4361336,4365965,4369120,4372298,4373873,4374085,4377652,4377738,4386429,4390188,4393940,4395603,4396134,4400015,4401773,4409510,4413519,4417617,4419509,4419726,4424760,4431015,4433510,4437198,4442820
Denmark,3320626,3321212,3321212,3321212,3323028,3324092,3324969,3325851,3326681,3326681,3326681,3328476,3329466,3330335,3331175,3331919,3331919,3331919,3333717,3334679,3335748,3336607,3337913,3337913,3337913,3340485,3341961,3343574,3344922,3346163
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690
Dominica,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,14852,15747,15747,15747,15747
Dominican Republic,638500,638500,638500,640064,640064,640064,640064,640064,640064,641677,641677,641677,641677,641677,641677,641677,641677,644016,644016,644356,644356,644356,644356,644356,644356,644356,644356,644356,644356,644356
Ecuador,995968,997224,997224,997224,997540,997791,997791,997791,998202,998202,998202,998202,998202,1000214,1000214,1000214,1000214,1000214,1000214,1002057,1002057,1002057,1002057,1002057,1002057,1002057,1003778,1003778,1003778,1003778
Egypt,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
El Salvador,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785,201785
Equatorial Guinea,16956,16957,16957,16957,16957,16962,16964,16964,16965,16965,16965,16965,16970,16990,16991,16991,16991,16991,16991,16994,17006,17006,17009,17009,17009,17010,17010,17010,17012,17012
Eritrea,10155,10155,10155,10155,10157,10158,10158,10158,10163,10163,10163,10163,10163,10164,10164,10164,10164,10164,10164,10164,10168,10168,10168,10168,10168,10169,10169,10169,10169,10170
Estonia,597838,597838,597838,597838,597838,598636,598636,598636,598636,598636,598636,598636,599596,599596,599596,599596,599596,599596,599596,600796,600796,600796,600796,600796,600796,600796,601869,601993,601993,601993
Eswatini,73367,73367,73368,73368,73368,73368,73368,73368,73368,73368,73374,73374,73374,73374,73374,73374,73374,73379,73379,73379,73379,73379,73379,73379,73379,73390,73390,73390,73390,73390
Ethiopia,493197,493224,493234,493237,493272,493278,493305,493316,493333,493340,493340,493346,493367,493385,493403,493423,493429,493430,493456,493461,493478,493490,493498,493505,493510,493528,493534,493555,493563,493579
Fiji,68177,68177,68177,68177,68177,68195,68195,68195,68207,68207,68207,68207,68207,68207,68223,68223,68223,68223,68223,68223,68223,68234,68234,68234,68234,68234,68234,68234,68242,68242
Finland,1266917,1266917,1266917,1266917,1266917,1266917,1266917,1271516,1271516,1271516,1271516,1271516,1271516,1271516,1277473,1277473,1277473,1277473,1277473,1277473,1277473,1287044,1287044,1287044,1287044,1287044,1287044,1287044,1292940,1292940
France,34764504,34780903,34780903,34780903,34812853,34839791,34859956,34879822,34898909,34898909,34898909,34939449,34985401,35015024,35048305,35076991,35076991,35076991,35138509,35190357,35228660,35267124,35304648,35304648,35304648,35381526,35456751,35508658,35560024,35608285
Gabon,48649,48649,48649,48649,48649,48655,48655,48655,48668,48668,48668,48668,48668,48668,48668,48668,48668,48682,48682,48682,48682,48682,48691,48691,48691,48691,48691,48691,48691,48691
Gambia,12311,12311,12311,12311,12311,12311,12311,12311,12311,12311,12311,12311,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508
Georgia,1735682,1735682,1735682,1735682,1735682,1735682,1735682,1735682,1735682,1735682,1735682,1762206,1762206,1762206,1762206,1762206,1762206,1762206,1762206,1762206,1762206,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691
Germany,32184553,32218483,32218483,32218483,32247828,32297537,32344032,32386089,32422084,32422084,32422084,32452250,32507180,32558479,32604993,32643742,32643742,32643742,32680356,32740593,32797308,32854286,32905086,32905086,32905086,32952050,33041332,33137143,33216006,33312373
Ghana,168580,168580,168580,168580,168580,168580,168580,168580,168580,168616,168616,168616,168616,168616,168616,168616,168616,168616,168813,168813,168813,168813,168813,168813,168813,169100,169100,169100,169100,169100
Greece,4762827,4762827,4762827,4762827,4762827,4804982,4804982,4804982,4804982,4804982,4804982,4804982,4838811,4838811,4838811,4838811,4838811,4838811,4838811,4875215,4875215,4875215,4875215,4875215,4875215,4875215,4920192,4920192,4920192,4920192
Grenada,19346,19346,19346,19346,19346,19403,19403,19403,19403,19403,19403,19403,19473,19473,19473,19473,19473,19473,19473,19516,19516,19516,19516,19536,19536,19536,19536,19536,19536,19536
Guatemala,1103606,1104536,1104842,1104909,1105036,1106153,1107533,1108779,1109940,1110973,1111043,1111191,1112550,1113871,1114758,1114803,1114913,1114951,1114991,1116046,1117364,1118292,1119277,1119984,1120141,1120199,1121231,1122517,1123465,1124467
Guinea,37470,37470,37470,37470,37470,37470,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652,37652
Guinea-Bissau,8491,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796,8796
Guyana,71062,71076,71085,71100,71102,71114,71133,71150,71174,71186,71191,71192,71209,71222,71239,71243,71251,71256,71263,71280,71287,71304,71311,71312,71315,71315,71322,71331,71336,71340
Haiti,33551,33551,33551,33551,33551,33551,33551,33551,33658,33658,33658,33702,33702,33702,33721,33721,33721,33721,33721,33721,33721,33733,33733,33733,33733,33733,33733,33733,33733,33733
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,454192,454779,454779,454779,454779,454779,454779,454779,455011,455011,455011,455011,455669,455669,455669,455836,455836,455836,455836,456035,456035,456106,456106,456106,456336,456391,456391,456391,456391,456391
Hungary,2048547,2048547,2048547,2048547,2048547,2048547,2058847,2058847,2058847,2058847,2058847,2058847,2058847,2070443,2070443,2070443,2070443,2070443,2070443,2070443,2082750,2082750,2082750,2082750,2082750,2082750,2082750,2094142,2094142,2094142
Iceland,204717,204717,204717,204717,204717,205009,205009,205009,205009,205009,205009,205009,205284,205284,205284,205284,205284,205284,205284,205454,205454,205454,205454,205454,205454,205454,205637,205637,205637,205637
India,44442507,44449726,44456535,44462445,44466862,44469661,44478636,44484729,44490283,44495359,44500580,44502363,44510057,44516479,44522777,44528524,44534188,44539046,44543089,44545011,44553042,44558425,44563337,44568114,44572243,44575473,44579088,44583360,44587307,44591112
Indonesia,6362902,6366518,6369778,6372542,6374882,6378489,6382002,6385140,6387944,6390553,6392492,6394340,6397236,6400035,6402686,6405044,6407123,6408806,6410426,6412944,6415328,6417490,6419394,6421118,6422529,6423873,6425849,6427764,6429767,6431624
Iran,7530325,7531392,7531924,7533087,7534182,7535272,7536217,7537081,7537781,7538125,7538821,7539698,7540316,7540962,7541586,7542230,7542533,7542822,7543548,7544540,7545351,7545855,7546276,7546673,7547089,7547397,7547706,7547968,7548320,7548648
Iraq,2457871,2457871,2457871,2457871,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2458509,2459178,2459249,2459249,2459249,2459249,2459249,2459249,2459505,2459982,2459982,2459982,2459982
Ireland,1656956,1656956,1656956,1656956,1656956,1656956,1659034,1659034,1659034,1659034,1659034,1659034,1659034,1660635,1660635,1660635,1660635,1660635,1660635,1660635,1662008,1662008,1662008,1662008,1662008,1662008,1662008,1663653,1663653,1663653
Israel,4634242,4635142,4635142,4636292,4637433,4638417,4639332,4640211,4640211,4641834,4642521,4643987,4645165,4646318,4647508,4648673,4649319,4650286,4651768,4653167,4654317,4655355,4655355,4655355,4657756,4657756,4659133,4659652,4661087,4662570
Italy,21888255,21907413,21925073,21938269,21944877,21969725,21987295,22004612,22020154,22035291,22047192,22054443,22077601,22096450,22114423,22131785,22148935,22161016,22169273,22197658,22218846,22241369,22262452,22284812,22303606,22313612,22358487,22395282,22432803,22467278
Jamaica,149911,150018,150101,150180,150307,150358,150401,150401,150590,150663,150752,150844,150909,150921,151016,151130,151221,151269,151340,151375,151405,151506,151542,151594,151650,151706,151752,151791,151829,151829
Japan,19116684,19246866,19369978,19477797,19545759,19657900,19787682,19900027,19999466,20092165,20173655,20226491,20314059,20414288,20500172,20576128,20647079,20711125,20749162,20780883,20850696,20928069,20991907,21031120,21077882,21121413,21165123,21215102,21257275,21293921
Jordan,1735495,1735495,1735495,1735495,1738867,1738867,1738867,1738867,1738867,1738867,1738867,1742256,1742256,1742256,1742256,1742256,1742256,1745032,1745032,1745032,1745032,1745032,1745032,1745032,1746997,1746997,1746997,1746997,1746997,1746997
Kazakhstan,1478605,1479046,1479475,1479848,1480046,1480201,1480862,1480862,1481122,1481339,1481525,1481621,1481908,1481913,1482094,1482250,1482250,1482564,1482564,1482628,1482749,1482903,1483024,1483024,1483024,1483245,1483313,1483411,1483512,1483609
Kenya,338210,338214,338234,338235,338237,338243,338259,338271,338280,338290,338295,338301,338307,338308,338315,338324,338332,338341,338347,338365,338371,338379,338379,338389,338390,338390,338404,338420,338420,338434
Kiribati,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430
"Korea, North",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Korea, South",23417425,23497048,23569192,23606740,23706477,23791961,23864560,23933949,23976673,24004887,24041825,24099134,24099134,24264470,24316302,24359702,24394466,24413873,24461737,24502968,24535940,24565021,24594336,24620128,24634296,24673663,24709789,24740635,24769101,24796014
Kosovo,271540,271607,271680,271729,271750,271750,271830,271855,271897,271922,271928,271932,271945,271964,271974,271989,271991,271998,272001,272005,272015,272025,272040,272043,272044,272045,272051,272052,272058,272067
Kuwait,657395,657395,657395,657395,657395,657745,657745,657745,657745,657745,657745,657745,657745,657745,657745,657745,657745,657745,657745,657745,658520,658520,658520,658520,658520,658520,658520,658520,658520,658520
Kyrgyzstan,205716,205716,205716,205716,205835,205835,205835,205835,205835,205835,205835,205920,205920,205920,205920,205920,205920,205920,205998,205998,205998,205998,205998,205998,205998,206083,206083,206083,206083,206083
Laos,214169,214273,214407,214407,214455,214563,214649,214835,214897,214897,214982,214982,215157,215272,215322,215322,215391,215448,215505,215555,215615,215654,215691,215714,215751,215799,215821,215821,215843,215860
Latvia,899938,900654,900654,900654,902095,902890,904090,904983,905904,905904,905904,907831,908852,910583,912002,913371,913371,913371,916282,917595,918860,920545,921974,921974,921974,924651,925883,927676,929051,930254
Lebanon,1209872,1209872,1210566,1210847,1211140,1211274,1211655,1212025,1212258,1212497,1212668,1212815,1212983,1213200,1213376,1213589,1213769,1213769,1213902,1214164,1214164,1214408,1214561,1214892,1214892,1215148,1215148,1215265,1215511,1215805
Lesotho,34206,34206,34206,34206,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Liberia,7883,7883,7883,7883,7898,7898,7898,7898,7898,7898,7898,7929,7929,7929,7929,7929,7929,7929,7957,7961,7961,7961,7961,7961,7961,7961,7961,7961,7961,7961
Libya,506822,506838,506838,506849,506860,506864,506878,506881,506889,506889,506889,506898,506898,506909,506918,506922,506922,506926,506932,506941,506947,506949,506954,506954,506955,506986,506988,506991,506991,506994
Liechtenstein,19161,19183,19183,19183,19231,19259,19285,19285,19285,19285,19285,19333,19349,19385,19390,19419,19419,19419,19439,19463,19490,19490,19490,19490,19490,19543,19612,19680,19713,19713
Lithuania,1219230,1219977,1220758,1220822,1220882,1222463,1223495,1224515,1225478,1226496,1226614,1226685,1229048,1230785,1232367,1233862,1235248,1235373,1235469,1238195,1240000,1241497,1242730,1243951,1244080,1244174,1246398,1247792,1249134,1250158
Luxembourg,286968,287100,288658,288658,288658,288658,288658,288658,288658,288658,288658,288658,288658,288658,288658,288721,288721,288721,288865,289164,289386,289633,289831,289831,289831,290074,290464,290945,291380,291758
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,66626,66626,66626,66640,66640,66640,66640,66640,66640,66640,66652,66652,66652,66652,66652,66652,66652,66660,66660,66660,66660,66660,66660,66660,66676,66676,66676,66676,66676,66676
Malawi,87877,87877,87894,87901,87908,87912,87912,87927,87933,87933,87933,87943,87943,87946,87946,87946,87972,87980,87981,87981,87991,87997,88005,88005,88005,88005,88005,88005,88024,88028
Malaysia,4784980,4787308,4789552,4791456,4792942,4795009,4797437,4799663,4801653,4803624,4805107,4806954,4808896,4811327,4813702,4815679,4817251,4818890,4820197,4821864,4823975,4826220,4828290,4830214,4831822,4833008,4834560,4837005,4838872,4840879
Maldives,184856,184856,184856,184856,184924,184924,184924,184924,184924,184924,184924,184966,184966,184966,184966,184966,184966,184966,185004,185004,185004,185004,185004,185004,185004,185042,185042,185042,185042,185042
Mali,31462,31518,31576,31623,31664,31781,31912,31998,32117,32205,32248,32263,32330,32385,32440,32478,32497,32508,32532,32548,32580,32592,32595,32601,32604,32607,32622,32622,32625,32638
Malta,114075,114097,114114,114135,114151,114172,114195,114206,114228,114251,114265,114283,114304,114323,114348,114368,114392,114411,114425,114443,114470,114503,114534,114550,114567,114583,114605,114628,114652,114692
Marshall Islands,15058,15063,15063,15063,15063,15070,15071,15071,15072,15072,15072,15177,15177,15180,15213,15213,15213,15213,15213,15224,15224,15224,15224,15224,15224,15275,15275,15275,15305,15305
Mauritania,62768,62769,62770,62771,62771,62772,62772,62773,62775,62776,62776,62777,62778,62778,62779,62780,62782,62784,62784,62784,62787,62787,62789,62791,62791,62794,62797,62802,62812,62815
Mauritius,256452,256452,256452,256452,258301,258301,258301,258301,258301,258301,258301,259730,260947,260947,260947,260947,260947,260947,260947,260947,260947,260947,260947,260947,260947,261976,261976,261976,262648,262648
Mexico,7032024,7036371,7036371,7041181,7041181,7046220,7046220,7046220,7046220,7056269,7059489,7059348,7059936,7059936,7059936,7059936,7069764,7069764,7069764,7073203,7076005,7076005,7080152,7081747,7081747,7082034,7082034,7082034,7087812,7089209
Micronesia,7856,7856,7856,7856,8549,8776,9037,9037,9037,9037,9037,9376,9463,9506,9933,10010,10010,10010,10010,10036,10036,10057,10057,10057,10057,10083,10083,10814,10814,10814
Moldova,575052,575052,575052,575052,575052,575052,579110,579110,579110,579110,579110,579110,579110,583183,583183,583183,583183,583183,583183,586966,587023,587023,587023,587023,587023,587023,589437,589437,589437,589437
Monaco,14384,14398,14404,14404,14404,14412,14417,14424,14436,14436,14436,14436,14451,14451,14471,14501,14501,14501,14501,14521,14527,14532,14541,14554,14554,14572,14586,14608,14608,14622
Mongolia,979985,979985,979985,979985,980283,980442,980442,980442,980442,980442,980442,981200,981200,981618,981618,981963,981963,981963,981963,982347,982478,982478,982551,982551,982551,982726,982726,982864,982864,982864
Montenegro,275791,275988,276179,276337,276440,276636,276790,276929,277061,277191,277341,277440,277643,277812,277976,278134,278252,278386,278509,278690,278848,278992,279134,279281,279403,279494,279663,279847,280002,280182
Morocco,1264468,1264495,1264531,1264549,1264556,1264580,1264597,1264609,1264622,1264648,1264659,1264664,1264690,1264711,1264731,1264743,1264762,1264779,1264785,1264807,1264822,1264840,1264850,1264872,1264879,1264883,1264903,1264920,1264935,1264945
Mozambique,230095,230113,230113,230129,230130,230137,230145,230150,230157,230171,230172,230174,230180,230184,230184,230192,230219,230219,230219,230219,230219,230219,230219,230219,230219,230219,230219,230219,230312,230312
Namibia,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253,169253
Nauru,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611
Nepal,997526,997660,997752,997868,997990,998167,998295,998432,998542,998654,998743,998870,998957,999046,999121,999181,999216,999241,999316,999355,999394,999453,999506,999535,999575,999614,999656,999687,999712,999742
Netherlands,8497562,8498770,8499911,8500795,8501662,8503126,8503247,8503247,8507272,8507272,8507272,8507272,8511573,8511603,8511627,8515935,8515935,8515935,8515935,8520435,8520464,8520464,8525846,8525846,8525846,8525850,8532727,8532760,8532760,8541285
