Country_Region,2022/10/01,2022/10/02,2022/10/03,2022/10/04,2022/10/05,2022/10/06,2022/10/07,2022/10/08,2022/10/09,2022/10/10,2022/10/11,2022/10/12,2022/10/13,2022/10/14,2022/10/15,2022/10/16,2022/10/17,2022/10/18,2022/10/19,2022/10/20,2022/10/21,2022/10/22,2022/10/23,2022/10/24,2022/10/25,2022/10/26,2022/10/27,2022/10/28,2022/10/29,2022/10/30,2022/10/31
Fiji,68242,68242,68242,68242,68242,68244,68245,68245,68245,68245,68245,68245,68248,68248,68248,68248,68248,68248,68248,68257,68257,68257,68257,68257,68257,68257,68264,68264,68264,68264,68264
Finland,1292940,1292940,1292940,1292940,1292940,1297708,1312634,1312634,1312634,1312634,1312634,1312634,1323455,1323455,1323455,1323455,1323455,1323455,1323455,1335318,1335318,1335318,1335318,1335318,1335318,1335318,1348737,1348737,1348737,1348737,1348737
France,35608285,35608285,35701024,35790213,35856904,35922441,35983605,35983605,35983605,36092874,36187658,36255606,36319858,36381207,36381207,36381207,36487995,36575661,36638723,36695541,36744628,36744628,36744628,36826751,36886459,36927700,36964789,36990572,36990572,36990572,37033519
Gabon,48691,48713,48713,48713,48713,48713,48713,48713,48713,48713,48772,48772,48810,48810,48810,48810,48810,48810,48810,48810,48810,48810,48810,48914,48914,48914,48914,48945,48945,48945,48945
Gambia,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12508,12580
Georgia,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691,1780691
Germany,33312373,33312373,33312373,33386229,33519761,33652255,33826367,33826367,33826367,33948632,34121168,34257916,34403129,34517327,34517327,34517327,34608837,34758889,34888963,35005769,35098062,35098062,35098062,35172694,35288228,35383015,35461920,35523412,35523412,35523412,35571131
Ghana,169385,169385,169685,169685,169685,169685,169685,169685,169685,169685,170103,170103,170177,170177,170177,170321,170321,170321,170321,170421,170421,170421,170573,170573,170573,170573,170573,170707,170707,170707,170707
Greece,4920192,4920192,4920192,4975067,4975067,4975067,4975067,4975067,4975067,4975067,5026494,5026494,5026494,5026494,5026494,5026494,5026494,5081981,5081981,5081981,5081981,5081981,5081981,5081981,5135200,5135200,5135200,5135200,5135200,5135200,5135200
Grenada,19536,19536,19536,19536,19536,19536,19536,19536,19536,19536,19536,19574,19574,19574,19574,19574,19574,19584,19584,19584,19584,19584,19584,19584,19591,19591,19591,19591,19591,19591,19591
Guatemala,1125164,1125205,1125287,1126214,1126990,1127942,1128715,1129099,1129448,1129542,1130102,1130829,1131666,1132692,1133367,1133421,1133517,1134249,1134947,1135690,1135840,1136527,1136676,1136861,1137512,1138242,1139274,1139845,1140382,1140447,1140499
Guinea,37652,37652,37909,37909,37909,37950,37950,37950,37950,37950,37950,37950,37950,37950,37950,37950,37999,37999,37999,37999,37999,37999,37999,38047,38047,38047,38047,38047,38047,38047,38047
Guinea-Bissau,8796,8796,8796,8796,8796,8796,8796,8796,8796,8831,8831,8831,8831,8831,8831,8831,8831,8831,8831,8831,8831,8831,8831,8831,8848,8848,8848,8848,8848,8848,8848
Guyana,71348,71349,71351,71353,71356,71361,71361,71379,71380,71383,71383,71393,71397,71399,71401,71403,71404,71404,71418,71418,71419,71422,71422,71422,71422,71431,71436,71436,71436,71437,71437
Haiti,33756,33756,33756,33756,33756,33756,33756,33756,33756,33756,33756,33761,33764,33764,33764,33764,33764,33764,33764,33764,33764,33764,33764,33764,33764,33811,33811,33811,33811,33811,33811
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,456391,456391,456391,456391,456664,456664,456664,456664,456664,456664,456664,456664,456664,456664,456664,456664,456886,456886,456886,456886,456886,456886,456988,456988,456988,456988,456988,456988,456988,456988,456988
Hungary,2094142,2094142,2094142,2094142,2107907,2107907,2107907,2107907,2107907,2107907,2107907,2120543,2120543,2120543,2120543,2120543,2120543,2120543,2132490,2132490,2132490,2132490,2132490,2132490,2132490,2141513,2141513,2141513,2141513,2141513,2141513
Iceland,205637,205637,205637,205823,205823,205823,205823,205823,205823,205823,205963,205963,205963,205963,205963,205963,205963,206134,206134,206134,206134,206134,206134,206134,206356,206356,206356,206356,206356,206356,206356
India,44594487,44597498,44599466,44601892,44604463,44606460,44609257,44612013,44614437,44616394,44616235,44621319,44623997,44626427,44628828,44630888,44632430,44634376,44636517,44638636,44640748,44642742,44644076,44644938,44645768,44646880,44649088,44650662,44652256,44653592,44654638
Indonesia,6433263,6434585,6435719,6437750,6439292,6441123,6442624,6443949,6444948,6446143,6448220,6450248,6452078,6453864,6455542,6456868,6458101,6460265,6462655,6464962,6467189,6469276,6470961,6472664,6475672,6478720,6481749,6484764,6487905,6490622,6493079
Iran,7549186,7549586,7550021,7550401,7550691,7550856,7551022,7551357,7551680,7552404,7552812,7553169,7553454,7553609,7554006,7554333,7554703,7555010,7555355,7555555,7555694,7555903,7556097,7556632,7556854,7557024,7557134,7557240,7557364,7557437,7557650
Iraq,2459982,2459982,2460318,2460572,2460572,2460670,2460670,2460670,2460670,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2460868,2461247,2461247,2461247,2461247,2461247,2461247,2461247,2461484
Ireland,1663653,1663653,1663653,1663653,1666048,1666048,1666048,1666048,1666048,1666048,1666048,1668301,1668301,1668301,1668301,1668301,1668301,1668301,1670377,1670377,1670377,1670377,1670377,1670377,1670377,1672319,1672319,1672319,1672319,1672319,1672319
Israel,4662570,4663506,4665267,4666011,4666156,4666607,4667278,4667278,4668642,4668642,4669740,4670608,4671334,4672048,4672492,4672722,4673402,4674056,4675027,4675414,4676493,4677053,4677921,4678728,4679547,4680385,4681217,4681748,4682577,4683209,4684451
Italy,22500346,22529252,22542568,22602840,22648063,22692912,22737577,22781293,22815736,22830825,22896742,22944496,22990201,23030777,23069745,23099983,23114013,23172370,23214073,23254633,23290747,23322522,23348075,23359680,23408393,23443429,23475187,23504224,23531023,23531023,23531023
Jamaica,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931,151931
Japan,21329519,21358831,21373998,21413721,21455079,21488519,21517962,21544747,21567543,21580581,21593704,21639209,21684899,21721504,21756642,21786304,21801676,21843970,21887525,21923635,21955228,21989401,22020274,22037126,22084832,22135126,22177863,22217117,22261640,22302251,22324592
Jordan,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997,1746997
Kazakhstan,1483609,1483609,1483764,1483793,1483859,1483923,1483973,1483973,1483973,1484100,1484126,1484126,1484126,1484126,1484126,1484126,1484126,1484400,1484400,1484504,1484591,1484591,1484591,1484591,1484591,1484591,1484734,1484734,1484734,1484734,1484932
Kenya,338439,338445,338449,338455,338463,338474,338484,338484,338499,338506,338518,338528,338538,338568,338571,338578,338599,338647,338678,338703,338728,338728,338749,338749,338749,338908,338970,339036,339078,339113,339147
Kiribati,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430
"Korea, North",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Korea, South",24819611,24831761,24848184,24882894,24911497,24933756,24953135,24970789,24979770,24995246,25025749,25052677,25076239,25098996,25120465,25131505,25164695,25194177,25219546,25244255,25271078,25297334,25311636,25355350,25396155,25431105,25466992,25504288,25538799,25557309,25615667
Kosovo,272075,272078,272078,272079,272083,272086,272088,272089,272093,272097,272100,272108,272113,272117,272119,272120,272124,272125,272129,272131,272136,272138,272139,272143,272149,272152,272153,272156,272160,272160,272161
Kuwait,658520,658520,658520,658520,658520,658520,658520,658520,660667,660667,660667,660667,660667,660667,660667,660667,661335,661335,661335,661335,661335,661335,661787,661787,661787,661787,661787,661787,662073,662073,662073
Kyrgyzstan,206083,206083,206160,206160,206160,206160,206160,206160,206160,206250,206250,206250,206250,206250,206250,206250,206334,206334,206334,206334,206334,206334,206334,206399,206399,206399,206399,206399,206399,206399,206452
Laos,215876,215880,215909,215926,215952,215971,215993,215995,216002,216008,216027,216047,216068,216088,216098,216101,216101,216116,216158,216158,216173,216177,216177,216198,216205,216212,216223,216229,216229,216236,216243
Latvia,930254,930254,932485,933476,934888,936008,937162,937162,937162,939146,940131,941284,942091,942923,942923,942923,944302,945174,946092,946914,947539,947539,947539,948611,949252,949986,950668,951164,951164,951164,952099
Lebanon,1215925,1216025,1216142,1216190,1216190,1216522,1216638,1216638,1216638,1216638,1216919,1216999,1216999,1216999,1216999,1216999,1216999,1216999,1217831,1217831,1218004,1218082,1218082,1218207,1218268,1218268,1218268,1218474,1218554,1218630,1218779
Lesotho,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Liberia,7961,7961,7974,7974,7974,7974,7974,7974,7974,7974,7985,7985,7985,7985,7985,7985,7988,7988,7988,7988,7988,7988,7988,7988,7988,7988,7988,7991,7991,7991,7996
Libya,506994,507004,507005,507008,507009,507010,507010,507010,507010,507010,507010,507012,507012,507012,507012,507012,507024,507024,507024,507024,507024,507024,507024,507034,507034,507034,507034,507034,507034,507034,507051
Liechtenstein,19713,19713,19859,19883,19978,19988,20077,20077,20077,20143,20211,20263,20266,20325,20325,20325,20389,20434,20465,20470,20509,20509,20509,20541,20548,20582,20588,20607,20607,20607,20626
Lithuania,1251209,1251328,1251410,1253167,1254247,1255181,1256003,1256823,1256954,1257011,1258521,1259428,1260161,1260809,1261435,1261596,1261643,1262782,1263538,1264090,1264602,1265081,1265120,1265161,1265985,1266559,1267094,1267507,1267973,1268010,1268046
Luxembourg,291758,291758,291758,292788,293201,294753,294753,294753,294753,294931,295792,296195,296941,297757,297757,297757,297835,298647,299022,299715,300099,300099,300099,300436,301031,301353,301761,302031,302031,302031,302221
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
